<frozen runpy>:128: RuntimeWarning: 'core.data_parser.main' found in sys.modules after import of package 'core.data_parser', but prior to execution of 'core.data_parser.main'; this may result in unpredictable behaviour
2025-12-02 12:48:12,238 - INFO - main.py:371 - --- Starting Invoice Automation ---
2025-12-02 12:48:12,238 - INFO - main.py:382 - Using input Excel path from command line: core/invoice_generator/JF25057.xlsx
2025-12-02 12:48:12,239 - INFO - main.py:413 - Processing workbook: JF25057.xlsx
2025-12-02 12:48:12,240 - INFO - main.py:419 - Using output directory from command line: C:\Users\JPZ031127\Desktop\main_stream_lit_giyo\GENERATE_INVOICE_STREAMLIT_WEB\scripts\output
2025-12-02 12:48:12,240 - INFO - main.py:448 - Checking workbook filename 'JF25057.xlsx' to determine PRIMARY aggregation mode for DAF compounding.
2025-12-02 12:48:12,240 - WARNING - main.py:452 - cfg.CUSTOM_AGGREGATION_WORKBOOK_PREFIXES is not a list. Using empty list.
2025-12-02 12:48:12,241 - INFO - main.py:462 - Workbook filename does not match custom prefixes. Will use STANDARD aggregation results for DAF compounding.
2025-12-02 12:48:12,241 - INFO - main.py:474 - Loading workbook from: core/invoice_generator/JF25057.xlsx
2025-12-02 12:48:12,241 - INFO - excel_handler.py:19 - Initialized ExcelHandler for: core/invoice_generator/JF25057.xlsx
2025-12-02 12:48:12,241 - INFO - excel_handler.py:33 - Attempting to load workbook 'core/invoice_generator/JF25057.xlsx' with data_only=True
2025-12-02 12:48:12,331 - INFO - excel_handler.py:46 - No sheet name specified. Successfully loaded active sheet: 'Sheet1'
2025-12-02 12:48:12,331 - INFO - excel_handler.py:48 - Sheet dimensions: Max Row=53, Max Col=26
2025-12-02 12:48:12,331 - INFO - main.py:479 - Successfully loaded worksheet: 'Sheet1' from 'JF25057.xlsx'
2025-12-02 12:48:12,331 - INFO - main.py:483 - Searching for the primary header row using smart detection...
2025-12-02 12:48:12,331 - INFO - sheet_parser.py:83 - [find_and_map_smart_headers_v12] Starting best-fit header search...
2025-12-02 12:48:12,332 - INFO - sheet_parser.py:182 - [find_and_map_smart_headers_v12] Evaluated Row 1 | Score: 0 | Mapping: {}
2025-12-02 12:48:12,332 - INFO - sheet_parser.py:182 - [find_and_map_smart_headers_v12] Evaluated Row 2 | Score: 0 | Mapping: {}
2025-12-02 12:48:12,332 - INFO - sheet_parser.py:182 - [find_and_map_smart_headers_v12] Evaluated Row 3 | Score: 0 | Mapping: {}
2025-12-02 12:48:12,333 - INFO - sheet_parser.py:182 - [find_and_map_smart_headers_v12] Evaluated Row 4 | Score: 0 | Mapping: {}
2025-12-02 12:48:12,334 - INFO - sheet_parser.py:182 - [find_and_map_smart_headers_v12] Evaluated Row 5 | Score: 0 | Mapping: {}
2025-12-02 12:48:12,334 - INFO - sheet_parser.py:182 - [find_and_map_smart_headers_v12] Evaluated Row 6 | Score: 0 | Mapping: {}
2025-12-02 12:48:12,335 - INFO - sheet_parser.py:182 - [find_and_map_smart_headers_v12] Evaluated Row 7 | Score: 1 | Mapping: {'col_item': 'H'}
2025-12-02 12:48:12,335 - INFO - sheet_parser.py:182 - [find_and_map_smart_headers_v12] Evaluated Row 8 | Score: 0 | Mapping: {}
2025-12-02 12:48:12,337 - INFO - sheet_parser.py:182 - [find_and_map_smart_headers_v12] Evaluated Row 9 | Score: 121 | Mapping: {'col_unit_price': 'O', 'col_amount': 'P', 'col_dc': 'A', 'col_po': 'B', 'col_line_no': 'C', 'col_direction': 'D', 'col_production_date': 'E', 'col_production_order_no': 'F', 'col_reference_code': 'G', 'col_item': 'H', 'col_level': 'I', 'col_qty_pcs': 'J', 'col_qty_sf': 'K', 'col_pallet_count': 'L', 'col_net': 'M', 'col_gross': 'N', 'col_cbm': 'R'}
